epoch,gen_loss,disc_loss,time_sec
1,1.907483,0.79543775,139.4430284500122
2,1.7952348,0.82740307,52.991029024124146
3,1.784389,0.8248916,52.81872296333313
4,1.8428911,0.80064803,52.63221263885498
5,1.8720039,0.79848224,52.973660945892334
6,1.8394951,0.8182685,52.739996910095215
7,1.7769037,0.83785737,52.77314019203186
8,1.7161527,0.87238294,52.760599851608276
9,1.7000248,0.8852211,52.75417518615723
10,1.6744667,0.90022767,52.63091683387756
11,1.6551528,0.90515465,52.74279475212097
12,1.6755702,0.9040764,52.76724934577942
13,1.6618841,0.9177235,52.71730136871338
14,1.6287416,0.94383633,52.779621839523315
15,1.5715711,0.95886904,52.737858057022095
16,1.5692427,0.9679414,52.7614848613739
17,1.5237987,0.98261285,52.759976387023926
18,1.5605099,0.97787017,52.765387296676636
19,1.5311671,0.9871109,52.70965313911438
20,1.5112565,0.9884733,52.71602249145508
21,1.491387,0.9886564,52.71316742897034
22,1.4918079,0.9951076,52.6549756526947
23,1.4745216,1.0081899,52.75678825378418
24,1.4952679,0.98789823,52.81861686706543
25,1.4814093,1.0018309,52.74767518043518
26,1.4522805,1.0068659,52.73439359664917
27,1.4655882,1.0104805,52.73342943191528
28,1.4654416,1.0055307,53.042195320129395
29,1.4584689,0.999551,53.29293084144592
30,1.4520406,1.0030245,53.07243299484253
31,1.4592701,1.0041741,52.766478538513184
32,1.4472917,1.0073755,52.822248697280884
33,1.4424164,1.0105098,52.69151329994202
34,1.4414548,1.0137357,52.72284746170044
35,1.4394507,1.015268,52.69682431221008
36,1.4385482,1.0209041,52.716599464416504
37,1.403396,1.0294758,52.79157257080078
38,1.4302733,1.0219492,52.76382374763489
39,1.421839,1.0232841,52.69633769989014
40,1.4329894,1.0214262,52.759809732437134
41,1.413881,1.0200661,52.80875825881958
42,1.4307846,1.0177524,52.76341128349304
43,1.4230057,1.0213382,52.767051458358765
44,1.442243,1.0131346,52.801764249801636
45,1.4569713,1.009919,52.85590219497681
46,1.4236208,1.0189567,52.67962121963501
47,1.4288871,1.0121408,52.705363273620605
48,1.4781669,1.0002683,52.76918077468872
49,1.4802244,0.9990428,52.65937089920044
50,1.4756119,0.99946254,52.7598819732666
